TFIDF
               	100554newsML.txt  100593newsML.txt  100618newsML.txt  130040newsML.txt  137871newsML.txt  
'm             	|  0.095165597630   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
's             	|  0.090693834344   0.093595320091   0.089203368600   0.139427353384   0.145592889457   
1.0            	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
1.56           	|  0.000000000000   0.000000000000   0.000000000000   0.094428412110   0.049302038059   
1.6            	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
1.85           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
10             	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
10.40          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
100            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
113.5          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
13.6           	|  0.000000000000   0.000000000000   0.000000000000   0.058520791438   0.000000000000   
130            	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
14.1           	|  0.000000000000   0.000000000000   0.000000000000   0.058520791438   0.000000000000   
15             	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
150            	|  0.038389502478   0.000000000000   0.037758608010   0.000000000000   0.000000000000   
160            	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
1994           	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
1997.          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
1=.6260        	|  0.000000000000   0.039284057781   0.000000000000   0.000000000000   0.000000000000   
1=.6270        	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
1=.6393        	|  0.038389502478   0.000000000000   0.000000000000   0.000000000000   0.049302038059   
200            	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
2003.          	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
2004           	|  0.047582798815   0.000000000000   0.000000000000   0.000000000000   0.000000000000   
225            	|  0.031866754923   0.000000000000   0.000000000000   0.078384112119   0.081850290448   
23             	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
239.2          	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
24             	|  0.000000000000   0.000000000000   0.000000000000   0.047214206055   0.049302038059   
3.7            	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
30.            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
350            	|  0.000000000000   0.000000000000   0.046800821384   0.000000000000   0.000000000000   
39             	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
400            	|  0.076779004957   0.000000000000   0.037758608010   0.000000000000   0.000000000000   
45.5           	|  0.031866754923   0.000000000000   0.000000000000   0.039192056059   0.040925145224   
5.8            	|  0.000000000000   0.000000000000   0.000000000000   0.058520791438   0.000000000000   
